date,pm25,pm10,no2,no,o3,so2,co,h2s,tsp,co2
2018-07-27,25.33,,,,,,,,,
2018-07-28,17.48,,,,,,,,,
2018-07-29,18.64,,,,,,,,,
2018-07-30,19.64,,,,,,,,,
2018-07-31,17.38,,,,,,,,,
2018-08-01,23.27,,,,,,,,,
2018-08-02,23.7,,,,,,,,,
2018-08-03,39.95,,,,,,,,,
2018-08-04,32.59,,,,,,,,,
2018-08-05,22.14,,,,,,,,,
2018-08-06,21.68,,,,,,,,,
2018-08-07,26.18,,,,,,,,,
2018-08-08,20.3,,,,,,,,,
2018-08-09,20.95,,,,,,,,,
2018-08-10,18.43,,,,,,,,,
2018-08-11,16.52,,,,,,,,,
2018-08-12,16.96,,,,,,,,,
2018-08-13,18.26,,,,,,,,,
2018-08-14,19.53,,,,,,,,,
2018-08-15,19.44,,,,,,,,,
2018-08-16,15.5,,,,,,,,,
2018-08-17,20.41,,,,,,,,,
2018-08-18,20.75,,,,,,,,,
2018-08-19,18.83,,,,,,,,,
2018-08-20,15.62,,,,,,,,,
2018-08-21,16.43,,,,,,,,,
2018-08-22,21.67,,,,,,,,,
2018-08-23,24.5,,,,,,,,,
2018-08-24,18.5,,,,,,,,,
2018-08-25,16.0,,,,,,,,,
2018-08-26,16.41,,,,,,,,,
2018-08-27,16.74,,,,,,,,,
2018-08-28,17.75,,,,,,,,,
2018-08-29,23.8,,,,,,,,,
2018-08-30,20.58,,,,,,,,,
2018-08-31,18.55,,,,,,,,,
2018-09-01,18.13,,,,,,,,,
2018-09-02,23.14,,,,,,,,,
2018-09-03,24.56,,,,,,,,,
2018-09-04,22.5,,,,,,,,,
2018-09-05,22.52,,,,,,,,,
2018-09-06,23.29,,,,,,,,,
2018-09-07,32.83,,,,,,,,,
2018-09-08,19.38,,,,,,,,,
2018-09-09,24.54,,,,,,,,,
2018-09-10,22.92,,,,,,,,,
2018-09-11,25.52,,,,,,,,,
2018-09-12,18.73,,,,,,,,,
2018-09-13,18.09,,,,,,,,,
2018-09-14,18.35,,,,,,,,,
2018-09-15,27.0,,,,,,,,,
2018-09-16,28.09,,,,,,,,,
2018-09-17,20.64,,,,,,,,,
2018-09-18,19.13,,,,,,,,,
2018-09-19,17.96,,,,,,,,,
2018-09-20,17.42,,,,,,,,,
2018-09-21,15.42,,,,,,,,,
2018-09-22,23.0,,,,,,,,,
2018-09-23,22.21,,,,,,,,,
2018-09-24,19.83,,,,,,,,,
2018-09-25,37.75,,,,,,,,,
2018-09-26,47.57,,,,,,,,,
2018-09-27,19.67,,,,,,,,,
2018-09-28,23.43,,,,,,,,,
2018-09-29,20.3,,,,,,,,,
2018-09-30,31.88,,,,,,,,,
2018-10-01,24.68,,,,,,,,,
2018-10-02,26.22,,,,,,,,,
2018-10-03,38.71,,,,,,,,,
2018-10-04,17.79,,,,,,,,,
2018-10-05,21.45,,,,,,,,,
2018-10-06,23.74,,,,,,,,,
2018-10-07,19.41,,,,,,,,,
2018-10-08,16.9,,,,,,,,,
2018-10-09,21.72,,,,,,,,,
2018-10-10,57.13,,,,,,,,,
2018-10-11,20.33,,,,,,,,,
2018-10-12,20.05,,,,,,,,,
2018-10-13,16.3,,,,,,,,,
2018-10-14,15.55,,,,,,,,,
2018-10-15,25.83,,,,,,,,,
2018-10-16,25.54,,,,,,,,,
2018-10-17,17.0,,,,,,,,,
2018-10-18,15.82,,,,,,,,,
2018-10-19,15.48,,,,,,,,,
2018-10-22,19.83,,,,,,,,,
2018-10-23,20.63,,,,,,,,,
2018-10-24,21.92,,,,,,,,,
2018-10-25,41.21,,,,,,,,,
2018-10-26,19.63,,,,,,,,,
