feature,importance_mean,importance_std
pm25_roll_mean_7,2.797000623429926,0.3968887291770901
pm25_lag_1,2.0417385436933895,0.2158904409292269
pm25_diff_3d,1.8570635992252975,0.2402913040206915
pm25_roll_min_7,1.5226532170654568,0.37513475025019327
pm25_roll_mean_3,1.460286188062622,0.1389210617740701
pm25_diff_1d,0.9650044420521425,0.11594787320877696
pm25_pct_change_1d,0.5277555588003114,0.07041224156177327
pm25_roll_mean_30,0.1603195480357716,0.11986268623698361
pm10_curr,0.14932010257112935,0.1216528076977313
pm25_roll_mean_14,0.13958730804186387,0.08598959567071739
temp_max,0.11317977712357923,0.02640770521013405
doy_cos,0.09093414181885784,0.023522560361946325
temp_min,0.07761025906464133,0.022095804862198684
pm25_roll_std_14,0.056004875379555584,0.012860396474348997
pm25_roll_std_7,0.05514604677196644,0.048693979728751106
dew_point_mean,0.05446689081195544,0.012520673540353213
pm25_lag_2,0.0418377674815968,0.02030806111675826
humidity_range,0.03625315904334059,0.020589736972134898
pm25_roll_max_7,0.028698153949578042,0.01682068523443793
heating_degree_days,0.02836961119470551,0.006463877178613321
pressure_mean,0.028305900302975574,0.028088721315897833
pressure_change_3d,0.02631716857046129,0.022601695614807373
vpd_max,0.02477697964527046,0.006093144490586954
vpd_mean,0.024673155701677985,0.006481626965313377
temp_mean,0.021481087959297797,0.004328842657751089
pblh_max,0.015123856664936852,0.012548292115682043
ventilation_proxy,0.014434073303053551,0.009195157114542921
pblh_mean,0.011672516312906467,0.010473755042744792
tsp_curr,0.011481351552968633,0.011067903880397268
wind_speed_mean,0.00957066324089766,0.004628915437990516
doy_sin,0.008998561986938113,0.024392116982437324
pm25_roll_std_3,0.008096052835035294,0.008887371167908989
pm25_lag_7,0.007390116581424166,0.017504806366295124
dew_point_depression,0.007225029762255986,0.004510952367763129
humidity_mean,0.00634706120295867,0.002919689139543033
u10_mean,0.006050215070337472,0.005964496283762513
cloud_mean,0.004662640863160305,0.005227748545401304
pblh_change_1d,0.004280363815035671,0.004722195281388507
dow_cos,0.0038396881989420707,0.005012095391405961
month_cos,0.003173400308932628,0.0060464735601314535
pm25_lag_3,0.0025310909410436013,0.0131838739441629
pressure_change_1d,0.002325992200317728,0.005537356792788782
wind_gust_excess,0.0014629221002408598,0.004037440899944015
tsp_missing_flag,0.001174196430883967,0.0021135759897924168
month_sin,0.0009105487379610366,0.0009089322125994602
pblh_min,0.0004100950586035879,0.0029026554242661496
is_cold_season,2.0669864158406882e-05,0.0001215066349546543
days_since_last_pm25,0.0,0.0
calm_wind_streak,0.0,0.0
calm_day_flag,0.0,0.0
pm25_missing_flag,0.0,0.0
is_weekend,-3.0156315462193105e-05,0.00033425243538632616
wind_gust_max,-6.373835655750781e-05,0.0036324419634234583
snow_flag,-0.0003425755949983511,0.00043152487420645844
calm_wind_hours,-0.00036273041627410407,0.0031057881663730715
pm25_high_count_7d,-0.00046711302995845473,0.0007136568009982042
precip_sum,-0.0005171226402165274,0.00350145576847991
ventilation_change_1d,-0.0005835574174941627,0.00588079318309404
days_since_last_precip,-0.0006462354423671712,0.0013049666690162557
pressure_range,-0.0007333909853553422,0.008514607738239418
pm10_missing_flag,-0.0011551000685884106,0.006423581149925978
snowfall_sum,-0.0012891244235973432,0.001994798398036895
pressure_change_2d,-0.0013197484668253877,0.006104517953023067
pm25_roll_std_30,-0.0014638465775941966,0.019629162175385274
wind_speed_max,-0.0015946807795465645,0.004859704700661769
precip_hours,-0.001711448441043828,0.001150215630589553
radiation_sum,-0.0017355220022174933,0.0020960589908351696
v10_mean,-0.003300742899844522,0.006632171807346577
pm25_high_count_14d,-0.005703107294094778,0.006498476988510543
temp_range,-0.005860354379598931,0.006971790843424226
dow_sin,-0.011243757231569873,0.007599126106317319
pm25_lag_14,-0.024427136192515776,0.01189892895958109
