task,feature_set,model,best_cv_mae,best_params
regression,CORE_PM10,RandomForest,18.841535426826468,"{'model__n_estimators': 1200, 'model__min_samples_leaf': 12, 'model__max_features': 1.0, 'model__max_depth': 12}"
regression,CORE_PM10_TSP,RandomForest,18.903226579308182,"{'model__n_estimators': 1200, 'model__min_samples_leaf': 12, 'model__max_features': 1.0, 'model__max_depth': 12}"
regression,CORE,RandomForest,18.937215045713053,"{'model__n_estimators': 1200, 'model__min_samples_leaf': 12, 'model__max_features': 1.0, 'model__max_depth': 12}"
regression,CORE_TSP,RandomForest,19.583811988791343,"{'model__n_estimators': 1200, 'model__min_samples_leaf': 12, 'model__max_features': 1.0, 'model__max_depth': 12}"
regression,CORE_PM10,XGBoost,19.675157285096912,"{'model__subsample': 0.6, 'model__n_estimators': 500, 'model__min_child_weight': 8, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}"
regression,CORE_PM10,CatBoost,19.84082701882097,"{'model__subsample': 1.0, 'model__learning_rate': 0.01, 'model__l2_leaf_reg': 5, 'model__iterations': 500, 'model__depth': 4}"
regression,CORE_PM10,LightGBM,19.864619319503255,"{'model__subsample': 0.8, 'model__num_leaves': 127, 'model__n_estimators': 800, 'model__min_child_samples': 20, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.6}"
regression,CORE_PM10_TSP,XGBoost,19.865217822731868,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__min_child_weight': 8, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}"
regression,CORE,XGBoost,19.886492089547055,"{'model__subsample': 0.6, 'model__n_estimators': 500, 'model__min_child_weight': 8, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}"
regression,CORE_PM10_TSP,CatBoost,20.00098054137203,"{'model__subsample': 1.0, 'model__learning_rate': 0.01, 'model__l2_leaf_reg': 5, 'model__iterations': 500, 'model__depth': 4}"
regression,CORE,CatBoost,20.02461722823624,"{'model__subsample': 1.0, 'model__learning_rate': 0.01, 'model__l2_leaf_reg': 5, 'model__iterations': 500, 'model__depth': 4}"
regression,CORE_PM10_TSP,LightGBM,20.03618608315092,"{'model__subsample': 0.8, 'model__num_leaves': 127, 'model__n_estimators': 800, 'model__min_child_samples': 20, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.6}"
regression,CORE,LightGBM,20.210497195659478,"{'model__subsample': 0.8, 'model__num_leaves': 127, 'model__n_estimators': 300, 'model__min_child_samples': 10, 'model__max_depth': 8, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}"
regression,CORE_TSP,XGBoost,20.288599583975476,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__min_child_weight': 8, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}"
regression,CORE_TSP,CatBoost,20.46657668594832,"{'model__subsample': 1.0, 'model__learning_rate': 0.05, 'model__l2_leaf_reg': 9, 'model__iterations': 500, 'model__depth': 8}"
regression,CORE_TSP,LightGBM,20.743893577532965,"{'model__subsample': 0.8, 'model__num_leaves': 127, 'model__n_estimators': 800, 'model__min_child_samples': 20, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.6}"
