date,pm25,pm10,no2,no,so2,co,h2s,tsp,temp_mean,temp_max,temp_min,humidity_mean,humidity_max,humidity_min,dew_point_mean,dew_point_max,dew_point_min,pressure_mean,pressure_max,pressure_min,wind_speed_mean,wind_speed_max,wind_speed_min,wind_gust_mean,wind_gust_max,wind_gust_min,precip_sum,precip_hours,snowfall_sum,radiation_sum,cloud_mean,cloud_max,cloud_min,vpd_max,wet_bulb_mean,wet_bulb_max,wet_bulb_min,soil_temp_0_7_mean,soil_temp_7_28_mean,soil_temp_28_100_mean,soil_moisture_0_7_mean,soil_moisture_7_28_mean,soil_moisture_28_100_mean,weather_code,u10_mean,v10_mean,calm_wind_hours,low_radiation_hours,high_pressure_hours,pblh_mean,pblh_min,pblh_max,vpd_mean,cloud_hourly_mean,precip_hourly_sum,snowfall_hourly_sum,wind_dir_circular_mean,temp_range,pressure_range,humidity_range,dew_point_depression,heating_degree_days,gust_to_mean_ratio,wind_gust_excess,ventilation_proxy,snow_flag,rain_flag,cloudy_day_flag,calm_day_flag,high_pressure_day_flag,pressure_change_1d,pressure_change_2d,pressure_change_3d,temp_change_1d,temp_change_3d,wind_change_1d,wind_change_3d,pblh_change_1d,ventilation_change_1d,precip_rolling_sum_3d,precip_rolling_sum_7d,snow_rolling_sum_3d,snow_rolling_sum_7d,cloud_rolling_mean_3d,cloud_rolling_mean_7d,radiation_rolling_mean_3d,radiation_rolling_mean_7d,vpd_rolling_mean_3d,vpd_rolling_mean_7d,days_since_last_precip,calm_wind_streak,high_pressure_streak
2018-07-27,25.33,,,,,,,,21.5,26.3,15.9,59,82,38,12.6,15.6,10.9,977.1,978.2,976.0,13.1,18.3,8.6,25.3,37.1,14.8,0.2,2.0,0.0,22.72,27,99,3,2.11,16.0,18.2,13.4,21.1,19.0,14.6,0.238,0.215,0.202,51,12.0625618271729,3.684867512484591,0.0,10.0,0.0,836.4583333333334,145.0,1885.0,1.1658333333333333,27.291666666666668,0.2,0.0,14.911848168192762,10.4,2.2000000000000455,44,8.9,0.0,2.8320610687022905,24.0,10957.604166666666,0,1,0,0,0,,,,,,,,,,0.2,0.2,0.0,0.0,27.0,27.0,22.72,22.72,1.1658333333333333,1.1658333333333333,0.0,0,0
2018-07-28,17.48,,,,,,,,19.3,25.5,13.1,56,85,30,9.6,11.5,6.7,976.0,976.9,975.1,11.8,20.1,8.0,23.8,37.1,11.5,0.0,0.0,0.0,26.49,9,96,0,2.27,13.6,15.3,11.5,20.6,19.4,14.8,0.216,0.21,0.2,3,7.80947636954344,7.99394406128603,0.0,10.0,0.0,776.4583333333334,45.0,1975.0,1.1016666666666668,8.625,0.0,0.0,46.38685474120814,12.4,1.7999999999999545,55,9.700000000000001,0.0,3.1440677966101696,25.3,9162.208333333334,0,0,0,0,0,-1.1000000000000227,,,-2.1999999999999993,,-1.299999999999999,,-60.0,-1795.3958333333321,0.2,0.2,0.0,0.0,18.0,18.0,24.604999999999997,24.604999999999997,1.13375,1.13375,1.0,0,0
2018-07-29,18.64,,,,,,,,21.1,27.5,14.9,53,83,26,10.0,12.4,6.4,974.9,976.2,973.9,5.0,15.9,1.6,12.4,28.1,2.9,0.0,0.0,0.0,23.45,27,94,0,2.7,14.5,16.7,12.4,21.2,19.5,14.9,0.199,0.206,0.199,3,1.238973153869854,1.7452895953216354,4.0,10.0,0.0,738.9583333333334,10.0,2055.0,1.3466666666666667,27.166666666666668,0.0,0.0,110.61835749559907,12.6,2.300000000000068,57,11.100000000000001,0.0,5.62,23.1,3694.791666666667,0,0,0,0,0,-1.1000000000000227,-2.2000000000000455,,1.8000000000000007,,-6.800000000000001,,-37.5,-5467.416666666667,0.2,0.2,0.0,0.0,21.0,21.0,24.22,24.22,1.2047222222222222,1.2047222222222222,2.0,0,0
2018-07-30,19.64,,,,,,,,21.5,27.5,16.4,61,78,34,13.1,17.1,10.4,973.4,974.5,971.9,8.6,22.9,0.7,19.2,43.9,4.3,0.1,1.0,0.0,21.26,40,99,1,2.41,16.3,18.7,13.6,22.1,20.3,15.1,0.186,0.202,0.199,51,3.6091443503696774,5.251065227859282,4.0,10.0,0.0,596.6666666666666,15.0,1850.0,1.1079166666666667,39.833333333333336,0.1,0.0,74.06231117642176,11.100000000000001,2.6000000000000227,44,8.4,0.0,5.104651162790698,35.3,5131.333333333333,0,1,0,0,0,-1.5,-2.6000000000000227,-3.7000000000000455,0.3999999999999986,0.0,3.5999999999999996,-4.5,-142.29166666666674,1436.541666666666,0.1,0.30000000000000004,0.0,0.0,25.333333333333332,25.75,23.733333333333334,23.48,1.1854166666666666,1.1805208333333335,0.0,0,0
2018-07-31,17.38,,,,,,,,16.8,19.1,13.7,79,92,67,13.1,15.5,9.9,971.8,972.2,970.9,19.6,25.0,16.5,36.4,47.9,28.8,4.4,8.0,0.0,15.76,80,100,16,0.7,14.3,16.6,11.8,19.3,19.7,15.3,0.214,0.2,0.199,55,13.272052982031587,14.190481099428522,0.0,11.0,0.0,563.9583333333334,360.0,835.0,0.41,79.625,4.4,0.0,47.406912019343,5.400000000000002,1.3000000000000682,25,3.700000000000001,1.1999999999999993,2.443877551020408,28.299999999999997,11053.583333333336,0,1,1,0,0,-1.6000000000000227,-3.1000000000000227,-4.2000000000000455,-4.699999999999999,-2.5,11.000000000000002,7.800000000000001,-32.70833333333326,5922.250000000003,4.5,4.7,0.0,0.0,49.0,36.6,20.15666666666667,21.936,0.9548611111111112,1.0264166666666665,0.0,0,0
2018-08-01,23.27,,,,,,,,14.9,18.9,12.4,78,89,57,10.9,12.6,9.9,970.3,971.5,968.4,15.1,19.4,6.0,28.0,36.0,11.2,8.5,16.0,0.0,8.48,92,100,44,0.93,12.3,13.6,10.9,16.0,17.2,15.3,0.298,0.203,0.2,53,9.944703824874153,11.075778550799761,0.0,11.0,0.0,584.7916666666666,85.0,1030.0,0.39625,92.25,8.5,0.0,49.93511034832767,6.499999999999998,3.1000000000000227,32,4.0,3.0999999999999996,2.384105960264901,20.9,8830.354166666666,0,1,1,0,0,-1.5,-3.1000000000000227,-4.600000000000023,-1.9000000000000004,-6.200000000000001,-4.500000000000002,10.1,20.833333333333258,-2223.2291666666697,13.0,13.2,0.0,0.0,70.66666666666667,45.833333333333336,15.166666666666666,19.69333333333333,0.6380555555555555,0.9213888888888889,0.0,0,0
2018-08-02,23.7,,,,,,,,18.6,25.0,12.4,65,89,38,11.4,14.6,9.3,968.5,969.9,967.4,14.3,22.2,7.9,27.4,46.4,13.7,0.0,0.0,0.0,22.49,42,99,3,1.98,14.1,17.3,10.4,18.2,16.7,15.0,0.288,0.209,0.199,3,10.503205107439276,9.211277562767082,0.0,10.0,0.0,677.7083333333334,65.0,1950.0,0.84625,41.916666666666664,0.0,0.0,42.36642220596809,12.6,2.5,51,7.200000000000001,0.0,3.2447552447552446,32.099999999999994,9691.229166666668,0,0,0,0,0,-1.7999999999999545,-3.2999999999999545,-4.899999999999977,3.700000000000001,-2.8999999999999986,-0.7999999999999989,5.700000000000001,92.91666666666674,860.8750000000018,12.9,13.2,0.0,0.0,71.33333333333333,45.285714285714285,15.576666666666668,20.092857142857145,0.5508333333333333,0.9106547619047619,1.0,0,0
2018-08-03,39.95,,,,,,,,19.7,25.5,13.9,70,96,39,13.2,14.6,10.5,968.3,969.8,965.9,10.1,13.5,6.0,20.5,27.0,10.1,0.1,1.0,0.0,22.5,17,49,1,2.0,15.6,17.4,13.4,20.1,18.3,15.0,0.257,0.207,0.198,51,5.836804585323043,7.578703056328219,0.0,10.0,0.0,623.75,30.0,1695.0,0.84125,16.791666666666668,0.1,0.0,53.748812207674234,11.6,3.8999999999999773,57,6.5,0.0,2.6732673267326734,16.9,6299.875,0,1,0,0,0,-0.20000000000004547,-2.0,-3.5,1.0999999999999979,2.8999999999999986,-4.200000000000001,-9.500000000000002,-53.95833333333337,-3391.354166666668,8.6,13.1,0.0,0.0,50.333333333333336,43.857142857142854,17.823333333333334,20.06142857142857,0.6945833333333334,0.8642857142857142,0.0,0,0
2018-08-04,32.59,,,,,,,,21.6,28.2,14.4,64,93,36,13.4,16.1,10.9,966.5,969.3,964.6,11.2,19.5,5.4,22.0,39.6,11.2,0.0,0.0,0.0,21.97,16,55,1,2.36,16.5,18.8,13.3,21.1,19.2,15.1,0.234,0.204,0.196,2,0.5920726946445517,-6.845566993106132,0.0,10.0,0.0,731.6666666666666,30.0,2385.0,1.1329166666666668,16.0,0.0,0.0,273.03230676968906,13.799999999999999,4.699999999999932,57,8.200000000000001,0.0,3.535714285714286,28.400000000000002,8194.666666666666,0,0,0,0,0,-1.7999999999999545,-2.0,-3.7999999999999545,1.9000000000000021,6.700000000000001,1.0999999999999996,-3.9000000000000004,107.91666666666663,1894.791666666666,0.1,13.1,0.0,0.0,25.0,44.857142857142854,22.319999999999997,19.415714285714284,0.9401388888888889,0.86875,1.0,0,0
2018-08-05,22.14,,,,,,,,21.2,27.3,14.4,67,97,41,14.0,16.2,12.7,971.1,972.5,969.1,8.6,14.5,6.0,18.0,24.8,9.4,0.0,0.0,0.0,21.44,60,100,5,2.13,16.7,18.5,13.4,21.7,19.8,15.2,0.216,0.202,0.197,3,4.336174983313166,7.089194471454046,0.0,10.0,0.0,476.4583333333333,35.0,1310.0,1.0029166666666667,60.166666666666664,0.0,0.0,58.17243867042595,12.9,3.3999999999999773,56,7.199999999999999,0.0,2.8837209302325584,16.200000000000003,4097.541666666666,0,0,0,0,0,4.600000000000023,2.800000000000068,2.6000000000000227,-0.40000000000000213,2.599999999999998,-2.5999999999999996,-5.700000000000001,-255.20833333333331,-4097.125,0.1,13.1,0.0,0.0,31.0,49.57142857142857,21.97,19.12857142857143,0.9923611111111112,0.8196428571428571,2.0,0,0
