fold,model,feature_set,MAE,RMSE,R2,MedAE
1,Ridge,Full,19.95865553902223,28.141748343072145,0.011875913592337084,13.596463643853347
1,WeightedRidge,Full,20.80159018908372,28.87890164101755,-0.04056850946266244,14.146634512196293
1,RandomForest,Full,21.867925681395185,30.03520398026903,-0.12556481106225914,15.366445508147873
1,HistGradientBoosting,Full,22.753125272467383,31.736722349177867,-0.25670539779080426,15.519635976469921
1,Ridge,AR + Weather,19.97533370671403,28.16719343359145,0.010088229805143012,13.279840992542788
1,WeightedRidge,AR + Weather,20.714583743785184,28.737769408960737,-0.030422769946787165,14.263801479363408
1,RandomForest,AR + Weather,21.66982770506033,29.870049354994546,-0.11322055318755675,15.51600598101442
1,HistGradientBoosting,AR + Weather,23.343274777988054,32.68721556187518,-0.3331075553762399,16.129789755328183
1,Ridge,Weather only,27.03093847970445,35.16183026608563,-0.5425962879784392,20.44276569461683
1,WeightedRidge,Weather only,30.98732890650473,40.52846261692326,-1.0494135118462298,23.46069219655255
1,RandomForest,Weather only,27.229316319791376,34.51469400210458,-0.486337347191816,22.275732633796288
1,HistGradientBoosting,Weather only,28.980657773163077,36.35758524780293,-0.6492990081661514,24.63217317350709
1,Ridge,AR + Calendar,21.147661989645528,29.310047597831293,-0.07187065946363025,14.1766191886855
1,WeightedRidge,AR + Calendar,23.04201320931866,30.919680912755624,-0.19283216771764677,16.237736030296603
1,RandomForest,AR + Calendar,22.063512822300673,30.61624528322653,-0.16953491816183042,15.286481470781489
1,HistGradientBoosting,AR + Calendar,24.888829628625537,34.3449672667797,-0.4717550993481239,16.624408581608268
1,Ridge,AR only,21.137833368824086,30.05236200940939,-0.12685116757245685,13.975881736865986
1,WeightedRidge,AR only,26.846239595904876,48.00752544234878,-1.8755967038725165,15.187247254836379
1,RandomForest,AR only,21.645759087737154,30.737841354376663,-0.17884326106833748,14.90833437132671
1,HistGradientBoosting,AR only,23.56395226532033,32.75756199332004,-0.33885171371539036,16.517683386575605
2,Ridge,Full,24.063250404350615,38.549261636726264,0.3034176215235942,14.551379287450828
2,WeightedRidge,Full,24.1719342633506,37.42887935027573,0.3433196755867851,15.190240670236985
2,RandomForest,Full,24.785441241992615,39.000256602718174,0.2870233865964825,15.85643380476186
2,HistGradientBoosting,Full,23.96536338277143,38.20097524197775,0.31594778075514096,15.417563472528414
2,Ridge,AR + Weather,23.85390920584708,38.388833398676546,0.30920341061783907,14.916958624589284
2,WeightedRidge,AR + Weather,24.15534872013898,37.4248805149074,0.34345998522342136,15.346465651580736
2,RandomForest,AR + Weather,24.95076873317814,38.957845450399795,0.2885732081112292,15.488819311375003
2,HistGradientBoosting,AR + Weather,25.0866629908665,39.22384852057764,0.2788248363937219,15.994556462741723
2,Ridge,Weather only,23.91523390521254,35.389690662304034,0.41292459181530705,15.929515177633661
2,WeightedRidge,Weather only,29.53608532579843,42.9589639244092,0.1349365700555174,19.375535275129423
2,RandomForest,Weather only,25.028653276846963,37.146519064665135,0.3531901846228772,17.54216421181856
2,HistGradientBoosting,Weather only,24.095617333704936,35.770131571469086,0.4002345684704972,17.48798546311795
2,Ridge,AR + Calendar,27.15415889274389,43.31436620910707,0.1205639106832298,16.31802613909869
2,WeightedRidge,AR + Calendar,28.179169422538905,41.91207704993047,0.1765850964143374,18.53250557769499
2,RandomForest,AR + Calendar,26.87423589855187,42.79912246942429,0.1413620394811972,16.419030033780118
2,HistGradientBoosting,AR + Calendar,26.942123774071682,42.635985816426334,0.1478952744468761,17.140067699201055
2,Ridge,AR only,27.298213944421416,43.669601270479234,0.10607968136668677,16.395353544023607
